latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
9.10295,-68.24785,302.38,1.03,1.01,2026-05-22,0115,T,49,6.1NRT,281.92,4.59,N
-15.94606,-61.84199,300.8,1,1,2026-05-22,0109,T,34,6.1NRT,279.82,6.89,N
9.1131,-68.24008,300.82,1.03,1.01,2026-05-22,0115,T,34,6.1NRT,282.2,3.79,N
-12.8124,-66.60523,303.49,1.44,1.19,2026-05-22,0109,T,38,6.1NRT,287.06,9.67,N
9.11183,-68.24914,300.74,1.03,1.01,2026-05-22,0115,T,33,6.1NRT,281.93,3.69,N
-12.80195,-66.60661,303.85,1.44,1.19,2026-05-22,0109,T,57,6.1NRT,286.61,10.42,N
10.08025,-64.85662,307.76,1.2,1.09,2026-05-22,0115,T,66,6.1NRT,293.17,7.56,N
-12.80646,-66.61241,312.78,1.44,1.19,2026-05-22,0109,T,86,6.1NRT,286.75,20.08,N
18.54626,-68.99344,303.92,1,1,2026-05-22,0120,T,58,6.1NRT,293,4.41,N
-12.46095,-66.78708,304.21,1.46,1.19,2026-05-22,0109,T,27,6.1NRT,287.73,10.11,N
18.31911,-71.36275,305.71,1.12,1.05,2026-05-22,0120,T,61,6.1NRT,294.18,6.09,N
-12.42936,-66.79115,302.4,1.46,1.19,2026-05-22,0109,T,44,6.1NRT,287.51,9.06,N
18.63358,-69.31041,304.44,1,1,2026-05-22,0120,T,60,6.1NRT,292.51,4.64,N
18.69782,-69.44884,334.52,1,1,2026-05-22,0120,T,100,6.1NRT,293.35,33.61,N
18.69655,-69.45805,315.94,1,1,2026-05-22,0120,T,92,6.1NRT,292.6,12.74,N
40.62386,109.74526,310.59,1.08,1.04,2026-05-22,0152,T,52,6.1NRT,290.88,6.41,D
40.57885,109.35558,309.67,1.11,1.05,2026-05-22,0152,T,63,6.1NRT,293.24,6.24,D
39.50043,110.54044,302.55,1.02,1.01,2026-05-22,0152,T,15,6.1NRT,286.64,2.74,D
35.14716,119.07628,306.59,2.56,1.54,2026-05-22,0152,T,43,6.1NRT,288.45,12.62,D
34.765,117.26267,304.23,2,1.38,2026-05-22,0152,T,14,6.1NRT,284.16,11.35,D
34.45201,117.99857,306.81,2.27,1.46,2026-05-22,0152,T,20,6.1NRT,289.92,11.11,D
34.30745,118.04951,312.4,2.3,1.47,2026-05-22,0152,T,66,6.1NRT,295.09,22.41,D
34.30904,118.04321,312.97,2.3,1.47,2026-05-22,0152,T,37,6.1NRT,295.44,22.18,D
33.42887,118.27625,307.12,2.51,1.52,2026-05-22,0152,T,52,6.1NRT,292.6,16.14,D
29.69746,32.32758,302.13,1,1,2026-05-22,0134,A,47,6.1NRT,290.71,5.43,N
29.02033,31.20374,302.83,1.01,1,2026-05-22,0134,A,52,6.1NRT,291.19,6.83,N
27.72738,102.21612,327.62,1.92,1.35,2026-05-22,0154,T,82,6.1NRT,300.53,41.87,D
27.72127,102.20973,327.07,1.92,1.35,2026-05-22,0154,T,82,6.1NRT,300.4,40.94,D
-1.42053,29.22595,308.58,1.57,1.23,2026-05-22,0143,A,23,6.1NRT,276.5,19.73,N
23.57281,103.33144,314.66,1.42,1.18,2026-05-22,0156,T,0,6.1NRT,297.81,8.08,D
20.97756,110.04047,314.29,1.27,1.12,2026-05-22,0156,T,34,6.1NRT,293.37,7.75,D
20.97651,110.03437,318.12,1.27,1.12,2026-05-22,0156,T,63,6.1NRT,293.92,12.51,D
17.1271,106.8527,318.82,1.02,1.01,2026-05-22,0156,T,63,6.1NRT,295.6,10.25,D
17.12572,106.86202,314.19,1.02,1.01,2026-05-22,0156,T,56,6.1NRT,295.54,5.99,D
16.11473,107.99612,314.15,1.14,1.06,2026-05-22,0156,T,72,6.1NRT,276.93,14.12,D
15.97297,107.8818,306.1,1.13,1.06,2026-05-22,0156,T,60,6.1NRT,275.74,6.46,D
15.48782,108.02895,314.27,1.16,1.07,2026-05-22,0156,T,68,6.1NRT,281.22,12.53,D
15.41512,108.49384,310.59,1.24,1.1,2026-05-22,0156,T,67,6.1NRT,280.34,9.48,D
15.47841,108.02739,315.24,1.16,1.07,2026-05-22,0156,T,74,6.1NRT,278.02,13.77,D
15.33669,108.40472,306.76,1.22,1.1,2026-05-22,0156,T,49,6.1NRT,285.98,5.82,D
15.35663,108.15293,306.01,1.19,1.08,2026-05-22,0156,T,56,6.1NRT,277.52,6.56,D
15.06122,108.5832,316.83,1.26,1.12,2026-05-22,0158,T,70,6.1NRT,293.54,11.34,D
15.03719,108.41872,321.58,1.24,1.11,2026-05-22,0158,T,79,6.1NRT,293.2,17.89,D
15.03355,108.42301,318.86,1.24,1.11,2026-05-22,0158,T,77,6.1NRT,293.51,13.78,D
15.001,108.44077,315.86,1.24,1.11,2026-05-22,0158,T,73,6.1NRT,292.76,11.57,D
14.97033,108.57377,314.16,1.27,1.12,2026-05-22,0158,T,71,6.1NRT,291.96,11.07,D
14.95333,108.49057,332.13,1.25,1.11,2026-05-22,0158,T,87,6.1NRT,294.59,35.53,D
14.95157,108.50175,316.94,1.25,1.11,2026-05-22,0158,T,74,6.1NRT,293.75,12.03,D
14.86645,108.77659,313.02,1.31,1.13,2026-05-22,0158,T,70,6.1NRT,292.24,10.03,D
14.86449,108.78924,316.71,1.31,1.14,2026-05-22,0158,T,75,6.1NRT,292.49,14.9,D
14.52706,108.91065,308.51,1.35,1.15,2026-05-22,0158,T,51,6.1NRT,288.3,6.73,D
14.42395,108.91209,314.68,1.35,1.15,2026-05-22,0158,T,72,6.1NRT,288.14,13.54,D
14.4219,108.92496,315.71,1.36,1.15,2026-05-22,0158,T,69,6.1NRT,289.59,14.31,D
13.684,109.11305,314.24,1.43,1.18,2026-05-22,0158,T,69,6.1NRT,294.89,11.67,D
13.55154,109.23073,314.37,1.47,1.2,2026-05-22,0158,T,64,6.1NRT,295.48,8.58,D
13.23316,108.71952,316.92,1.37,1.16,2026-05-22,0158,T,69,6.1NRT,295.84,10.14,D
12.92971,109.41744,315.31,1.55,1.23,2026-05-22,0158,T,50,6.1NRT,294.31,15.65,D
12.78166,108.70892,314.29,1.39,1.17,2026-05-22,0158,T,62,6.1NRT,294.06,8.69,D
13.09578,106.24945,313.32,1.04,1.02,2026-05-22,0158,T,64,6.1NRT,291.95,6.67,D
13.00265,105.29652,311.49,1,1,2026-05-22,0158,T,45,6.1NRT,290.4,4.51,D
12.85799,104.51231,315.85,1.01,1,2026-05-22,0158,T,65,6.1NRT,294.31,4.62,D
12.20452,108.06596,316.3,1.29,1.13,2026-05-22,0158,T,71,6.1NRT,296.36,13.36,D
